

============================== EXP at 2026-04-29 09:39:16 ==============================


============================== EXP at 2026-04-29 09:51:00 ==============================


============================== EXP at 2026-04-29 10:44:22 ==============================


============================== EXP at 2026-04-29 15:01:43 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:     18/  7140 | global iter:     10/  3570 | loss: 1.1969 | ds_loss: 0.9529 | lr: 4.9999e-04 | scale:  2048.0000 | micro time: 0.810 | step time: 1.544
train | epoch   0 | Iter:     38/  7140 | global iter:     20/  3570 | loss: 1.2429 | ds_loss: 1.0360 | lr: 4.9997e-04 | scale:  2048.0000 | micro time: 0.804 | step time: 1.599
train | epoch   0 | Iter:     58/  7140 | global iter:     30/  3570 | loss: 1.2812 | ds_loss: 1.1000 | lr: 4.9992e-04 | scale:  2048.0000 | micro time: 0.806 | step time: 1.614
train | epoch   0 | Iter:     78/  7140 | global iter:     40/  3570 | loss: 1.2716 | ds_loss: 1.1039 | lr: 4.9985e-04 | scale:  2048.0000 | micro time: 0.805 | step time: 1.612
train | epoch   0 | Iter:     98/  7140 | global iter:     50/  3570 | loss: 1.2052 | ds_loss: 1.0489 | lr: 4.9977e-04 | scale:  2048.0000 | micro time: 0.810 | step time: 1.606
train | epoch   0 | Iter:    118/  7140 | global iter:     60/  3570 | loss: 1.2219 | ds_loss: 1.0742 | lr: 4.9966e-04 | scale:  2048.0000 | micro time: 0.816 | step time: 1.605
train | epoch   0 | Iter:    138/  7140 | global iter:     70/  3570 | loss: 1.2028 | ds_loss: 1.0613 | lr: 4.9954e-04 | scale:  2048.0000 | micro time: 0.816 | step time: 1.604
train | epoch   0 | Iter:    158/  7140 | global iter:     80/  3570 | loss: 1.1462 | ds_loss: 1.0123 | lr: 4.9940e-04 | scale:  2048.0000 | micro time: 0.814 | step time: 1.604
train | epoch   0 | Iter:    178/  7140 | global iter:     90/  3570 | loss: 1.2038 | ds_loss: 1.0727 | lr: 4.9923e-04 | scale:  2048.0000 | micro time: 0.809 | step time: 1.606
train | epoch   0 | Iter:    198/  7140 | global iter:    100/  3570 | loss: 1.1671 | ds_loss: 1.0414 | lr: 4.9905e-04 | scale:  2048.0000 | micro time: 0.819 | step time: 1.610
train | epoch   0 | Iter:    218/  7140 | global iter:    110/  3570 | loss: 1.1048 | ds_loss: 0.9872 | lr: 4.9885e-04 | scale:  2048.0000 | micro time: 0.826 | step time: 1.652
